['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:07:33.58735'", 1, 108, 40, 455, 315)
("'13:07:33.58735'", 2, 91, 304, 709, 508)
("'13:07:33.58735'", 6, 210, 536, 1091, 705)
("'13:07:33.58735'", 7, 28, 208, 422, 366)
("'13:07:33.75882'", 1, 112, 41, 448, 310)
("'13:07:33.75882'", 2, 154, 263, 785, 467)
("'13:07:33.75882'", 6, 219, 504, 1276, 720)
("'13:07:33.75882'", 7, 30, 184, 424, 340)
("'13:07:33.75882'", 9, 5, 524, 338, 670)
("'13:07:33.75882'", 10, 637, 454, 1251, 676)
("'13:07:33.93637'", 1, 98, 60, 428, 302)
("'13:07:33.93637'", 2, 248, 242, 855, 435)
("'13:07:33.93637'", 7, 8, 171, 447, 344)
("'13:07:33.93637'", 10, 606, 420, 1250, 649)
("'13:07:34.11423'", 2, 343, 238, 885, 400)
("'13:07:34.11423'", 7, -26, 95, 552, 333)
("'13:07:34.11423'", 9, 60, 508, 434, 673)
("'13:07:34.11423'", 10, 700, 394, 1316, 622)
("'13:07:34.11423'", 13, 415, 473, 1371, 719)
("'13:07:34.11423'", 14, -26, 293, 379, 534)
("'13:07:34.28978'", 2, 432, 230, 1021, 402)
("'13:07:34.28978'", 9, 88, 503, 474, 678)
("'13:07:34.28978'", 13, 502, 473, 1377, 714)
("'13:07:34.28978'", 14, 54, 314, 420, 516)
("'13:07:34.47553'", 2, 535, 208, 1203, 409)
("'13:07:34.47553'", 7, 267, 170, 669, 326)
("'13:07:34.47553'", 9, 194, 475, 615, 660)
("'13:07:34.47553'", 13, 641, 466, 1427, 720)
("'13:07:34.47553'", 14, 147, 324, 543, 521)
("'13:07:34.66312'", 9, 365, 498, 734, 657)
("'13:07:34.66312'", 10, 700, 193, 1285, 412)
("'13:07:34.66312'", 14, 217, 357, 659, 543)
("'13:07:34.66312'", 19, 420, 193, 825, 333)
("'13:07:34.66312'", 25, 24, 535, 418, 708)
("'13:07:34.85052'", 5, 817, 218, 1260, 466)
("'13:07:34.85052'", 9, 373, 509, 786, 680)
("'13:07:34.85052'", 14, 285, 404, 665, 560)
("'13:07:34.85052'", 19, 481, 204, 984, 377)
("'13:07:34.85052'", 25, 57, 555, 451, 720)
("'13:07:35.03905'", 5, 828, 236, 1300, 504)
("'13:07:35.03905'", 9, 352, 533, 802, 717)
("'13:07:35.03905'", 14, 281, 436, 687, 591)
("'13:07:35.03905'", 19, 447, 230, 1028, 413)
("'13:07:35.22411'", 5, 910, 304, 1310, 555)
("'13:07:35.22411'", 6, 335, 589, 934, 718)
("'13:07:35.22411'", 7, 529, 274, 966, 440)
("'13:07:35.22411'", 14, 299, 488, 720, 641)
("'13:07:35.22411'", 19, 501, 279, 990, 427)
("'13:07:35.22411'", 26, 742, 565, 1166, 713)
("'13:07:35.42003'", 5, 990, 416, 1264, 593)
("'13:07:35.42003'", 14, 285, 526, 771, 707)
("'13:07:35.42003'", 19, 599, 335, 1049, 470)
("'13:07:35.60206'", 7, 644, 352, 1090, 520)
("'13:07:35.60206'", 14, 338, 567, 781, 719)
