['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:23:10.11071'", 2, 1022, 580, 1317, 720)
("'13:23:10.11071'", 3, 702, 468, 890, 541)
("'13:23:10.11071'", 4, 40, 338, 396, 501)
("'13:23:10.11071'", 5, 647, 343, 882, 435)
("'13:23:10.11071'", 10, 11, 232, 243, 393)
("'13:23:10.11071'", 11, 1135, 410, 1275, 538)
("'13:23:10.29330'", 2, 1117, 581, 1366, 720)
("'13:23:10.29330'", 3, 744, 449, 950, 529)
("'13:23:10.29330'", 4, -13, 241, 540, 488)
("'13:23:10.29330'", 12, 249, 527, 478, 613)
("'13:23:10.29330'", 16, 24, 402, 168, 561)
("'13:23:10.29330'", 18, 999, 533, 1233, 611)
("'13:23:10.46563'", 3, 748, 468, 953, 549)
("'13:23:10.46563'", 4, 68, 297, 605, 516)
("'13:23:10.46563'", 17, 33, 640, 213, 719)
("'13:23:10.46563'", 18, 966, 536, 1284, 648)
("'13:23:10.46563'", 21, -10, 387, 276, 568)
("'13:23:10.46563'", 22, 660, 329, 988, 471)
("'13:23:10.64244'", 4, 173, 325, 639, 507)
("'13:23:10.64244'", 5, 733, 467, 961, 554)
("'13:23:10.64244'", 18, 988, 540, 1284, 649)
("'13:23:10.64244'", 21, 8, 375, 312, 569)
("'13:23:10.64244'", 25, 681, 642, 1242, 720)
("'13:23:10.64244'", 26, 22, 227, 310, 385)
("'13:23:10.81807'", 4, 240, 349, 648, 512)
("'13:23:10.81807'", 5, 728, 481, 967, 573)
("'13:23:10.81807'", 18, 1013, 564, 1280, 669)
("'13:23:10.81807'", 21, 49, 397, 369, 580)
("'13:23:10.81807'", 26, 64, 249, 353, 394)
("'13:23:10.99580'", 4, 259, 358, 759, 563)
("'13:23:10.99580'", 5, 745, 494, 966, 579)
("'13:23:10.99580'", 18, 1027, 567, 1291, 677)
("'13:23:10.99580'", 21, 66, 420, 433, 600)
("'13:23:10.99580'", 26, 61, 265, 432, 427)
("'13:23:11.18701'", 2, 1128, 583, 1281, 668)
("'13:23:11.18701'", 3, 785, 484, 1024, 579)
("'13:23:11.18701'", 4, 430, 377, 795, 531)
("'13:23:11.18701'", 18, 1089, 571, 1303, 668)
("'13:23:11.18701'", 21, 86, 437, 521, 615)
("'13:23:11.18701'", 22, 814, 392, 973, 463)
("'13:23:11.18701'", 26, 113, 270, 554, 444)
("'13:23:11.36769'", 4, 508, 384, 817, 516)
("'13:23:11.36769'", 6, 854, 491, 1065, 571)
("'13:23:11.36769'", 21, 99, 421, 646, 616)
("'13:23:11.36769'", 26, 250, 271, 635, 414)
("'13:23:11.54381'", 12, 554, 375, 949, 522)
("'13:23:11.54381'", 21, 241, 440, 759, 615)
("'13:23:11.54381'", 26, 353, 270, 733, 410)
("'13:23:11.72487'", 4, 725, 379, 1074, 519)
("'13:23:11.72487'", 6, 975, 491, 1202, 574)
("'13:23:11.72487'", 10, 18, 374, 194, 483)
("'13:23:11.72487'", 15, 305, 358, 620, 476)
("'13:23:11.72487'", 17, 149, 458, 404, 566)
("'13:23:11.72487'", 21, 390, 448, 923, 629)
("'13:23:11.72487'", 26, 508, 275, 853, 405)
("'13:23:11.90960'", 10, 36, 367, 248, 482)
("'13:23:11.90960'", 12, 811, 389, 1138, 508)
("'13:23:11.90960'", 15, 372, 350, 701, 477)
("'13:23:11.90960'", 21, 493, 452, 1003, 629)
("'13:23:11.90960'", 26, 626, 266, 963, 395)
("'13:23:12.12222'", 3, 598, 433, 1068, 629)
("'13:23:12.12222'", 4, 870, 365, 1218, 510)
("'13:23:12.12222'", 10, 40, 360, 320, 487)
("'13:23:12.12222'", 12, 904, 381, 1224, 492)
("'13:23:12.12222'", 15, 471, 359, 750, 457)
("'13:23:12.12222'", 26, 694, 255, 1045, 387)
("'13:23:12.12222'", 44, -82, 586, 620, 718)
