['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:12:06.25300'", 1, 63, 387, 635, 619)
("'13:12:06.25300'", 4, 769, 342, 1092, 494)
("'13:12:06.25300'", 8, 778, 485, 972, 552)
("'13:12:06.25300'", 9, 4, 575, 324, 709)
("'13:12:06.55941'", 1, 318, 423, 902, 639)
("'13:12:06.55941'", 4, 895, 382, 1250, 538)
("'13:12:06.55941'", 9, 89, 589, 476, 719)
("'13:12:06.55941'", 16, -42, 486, 278, 637)
("'13:12:06.55941'", 19, 23, 288, 101, 402)
("'13:12:07.82024'", 1, 975, 435, 1325, 620)
("'13:12:07.82024'", 16, 221, 369, 806, 589)
("'13:12:07.82024'", 21, 186, 223, 530, 372)
("'13:12:08.10996'", 9, 358, 228, 737, 349)
("'13:12:08.10996'", 10, 654, 256, 1221, 458)
("'13:12:08.10996'", 16, 501, 343, 1177, 575)
("'13:12:08.10996'", 19, 34, 512, 218, 635)
("'13:12:08.10996'", 39, 673, 590, 1202, 718)
("'13:12:08.10996'", 41, 78, 349, 390, 516)
("'13:12:08.38161'", 9, 412, 220, 877, 364)
("'13:12:08.38161'", 16, 675, 332, 1335, 576)
("'13:12:08.38161'", 44, 71, 526, 409, 710)
("'13:12:08.38161'", 48, 24, 332, 149, 471)
("'13:12:08.62843'", 9, 436, 246, 865, 377)
("'13:12:08.62843'", 15, 65, 371, 466, 562)
("'13:12:08.62843'", 32, 766, 322, 1288, 582)
("'13:12:08.62843'", 48, 15, 327, 187, 509)
("'13:12:08.62843'", 51, 640, 501, 1256, 674)
("'13:12:08.62843'", 53, 1024, 75, 1268, 379)
("'13:12:08.84121'", 2, 878, 342, 1289, 580)
("'13:12:08.84121'", 10, 756, 508, 1276, 691)
("'13:12:08.84121'", 20, 164, 384, 489, 522)
("'13:12:08.84121'", 32, 819, 350, 1286, 582)
("'13:12:08.84121'", 48, 18, 336, 217, 520)
("'13:12:08.84121'", 51, 719, 512, 1302, 681)
("'13:12:08.84121'", 57, 78, 556, 618, 718)
("'13:12:08.84121'", 58, 479, 350, 788, 482)
("'13:12:08.84121'", 59, 344, 526, 665, 616)
("'13:12:09.02761'", 9, 550, 265, 1102, 439)
("'13:12:09.02761'", 48, 16, 337, 290, 571)
("'13:12:09.02761'", 51, 823, 574, 1289, 709)
("'13:12:09.02761'", 57, 212, 568, 804, 719)
("'13:12:09.02761'", 58, 467, 330, 858, 494)
("'13:12:09.22154'", 4, 823, 464, 1278, 679)
("'13:12:09.22154'", 16, 679, 276, 1215, 482)
("'13:12:09.22154'", 19, 33, 353, 375, 561)
("'13:12:09.22154'", 28, 206, 569, 1085, 707)
("'13:12:09.22154'", 41, 370, 421, 621, 549)
("'13:12:09.22154'", 56, 455, 266, 692, 353)
("'13:12:09.22154'", 66, 559, 359, 996, 499)
("'13:12:09.22154'", 68, 504, 550, 935, 650)
("'13:12:09.41623'", 16, 781, 314, 1247, 491)
("'13:12:09.41623'", 19, 205, 367, 542, 556)
("'13:12:09.41623'", 32, 1000, 529, 1263, 657)
("'13:12:09.41623'", 41, 489, 408, 778, 552)
("'13:12:09.41623'", 66, 662, 351, 1167, 512)
("'13:12:09.41623'", 71, -17, 540, 294, 705)
("'13:12:09.41623'", 72, 442, 566, 1263, 710)
("'13:12:09.41623'", 73, 590, 278, 808, 362)
("'13:12:09.59728'", 13, 7, 424, 161, 535)
("'13:12:09.59728'", 19, 273, 356, 683, 583)
("'13:12:09.59728'", 21, 769, 325, 1270, 519)
("'13:12:09.59728'", 41, 597, 432, 845, 552)
