['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:18:01.52788'", 1, 814, 15, 1311, 221)
("'13:18:01.52788'", 2, 414, 220, 1200, 495)
("'13:18:01.52788'", 3, 52, 0, 710, 139)
("'13:18:01.52788'", 4, 319, 145, 833, 319)
("'13:18:01.52788'", 7, 150, 338, 766, 607)
("'13:18:01.69814'", 1, 931, 11, 1321, 185)
("'13:18:01.69814'", 2, 537, 226, 1315, 509)
("'13:18:01.69814'", 3, 134, 0, 885, 151)
("'13:18:01.69814'", 4, 470, 152, 909, 293)
("'13:18:01.69814'", 15, 38, 275, 654, 470)
("'13:18:01.87037'", 1, 1000, 16, 1315, 169)
("'13:18:01.87037'", 2, 593, 222, 1317, 500)
("'13:18:01.87037'", 3, 279, 0, 1029, 150)
("'13:18:01.87037'", 4, 508, 124, 945, 260)
("'13:18:01.87037'", 12, 123, 363, 892, 698)
("'13:18:01.87037'", 18, 3, 97, 138, 250)
("'13:18:02.04292'", 2, 676, 228, 1338, 501)
("'13:18:02.04292'", 3, 391, 0, 1102, 143)
("'13:18:02.04292'", 4, 498, 110, 979, 261)
("'13:18:02.04292'", 5, 517, 106, 928, 261)
("'13:18:02.04292'", 12, 70, 345, 910, 715)
("'13:18:02.22327'", 2, 717, 269, 1326, 533)
("'13:18:02.22327'", 3, 408, 0, 1197, 174)
("'13:18:02.22327'", 5, 518, 127, 910, 271)
("'13:18:02.22327'", 12, 54, 364, 861, 712)
("'13:18:02.22327'", 28, 41, 2, 446, 447)
("'13:18:02.39534'", 3, 547, 0, 1321, 187)
("'13:18:02.39534'", 5, 618, 125, 1038, 277)
("'13:18:02.39534'", 11, 925, 315, 1310, 544)
("'13:18:02.39534'", 33, 214, 363, 1046, 691)
("'13:18:02.57256'", 3, 719, 0, 1328, 151)
("'13:18:02.57256'", 12, -24, 463, 563, 720)
("'13:18:02.57256'", 33, 392, 360, 1232, 687)
("'13:18:02.57256'", 38, 98, 155, 627, 558)
("'13:18:02.57256'", 44, 12, 0, 476, 181)
("'13:18:02.74667'", 7, 822, -4, 1302, 198)
("'13:18:02.74667'", 38, 165, 197, 731, 577)
