['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:24:14.22857'", 1, 34, 306, 824, 635)
("'13:24:14.22857'", 4, 833, 205, 1190, 321)
("'13:24:14.40899'", 1, 101, 350, 798, 622)
("'13:24:14.58725'", 4, 843, 196, 1272, 336)
("'13:24:14.58725'", 13, 89, 326, 1008, 630)
("'13:24:14.58725'", 15, 155, 231, 490, 346)
("'13:24:14.76747'", 4, 896, 184, 1282, 318)
("'13:24:14.76747'", 10, 900, 171, 1243, 311)
("'13:24:14.76747'", 13, 261, 332, 1161, 628)
("'13:24:14.76747'", 22, 139, 216, 587, 350)
("'13:24:14.76747'", 24, 8, 279, 335, 444)
("'13:24:14.94481'", 1, 436, 301, 1248, 618)
("'13:24:14.94481'", 4, 897, 146, 1336, 320)
("'13:24:14.94481'", 24, 112, 282, 353, 392)
("'13:24:15.13237'", 1, 542, 300, 1301, 609)
("'13:24:15.13237'", 4, 993, 113, 1318, 263)
("'13:24:15.13237'", 27, 422, 539, 1072, 697)
("'13:24:15.31788'", 1, 644, 270, 1336, 567)
("'13:24:15.31788'", 2, 505, 479, 1217, 719)
("'13:24:15.31788'", 4, 1097, 102, 1345, 253)
("'13:24:15.31788'", 13, 755, 211, 1306, 401)
("'13:24:15.31788'", 24, 169, 329, 383, 426)
("'13:24:15.31788'", 29, 584, 404, 826, 508)
("'13:24:15.31788'", 32, 215, 492, 505, 630)
("'13:24:15.31788'", 35, -129, 168, 447, 361)
("'13:24:15.49724'", 1, 739, 277, 1321, 541)
("'13:24:15.49724'", 2, 590, 477, 1286, 711)
("'13:24:15.49724'", 22, 353, 81, 940, 272)
("'13:24:15.49724'", 32, 298, 466, 591, 599)
("'13:24:15.49724'", 37, 388, 560, 1102, 720)
("'13:24:15.49724'", 44, 227, 384, 474, 481)
("'13:24:15.67839'", 2, 613, 486, 1276, 707)
("'13:24:15.67839'", 49, 758, 295, 1384, 515)
("'13:24:15.86153'", 53, 273, 448, 655, 604)
("'13:24:15.86153'", 54, 27, 169, 429, 418)
("'13:24:15.86153'", 58, -14, 70, 338, 220)
("'13:24:15.86153'", 59, -59, 464, 359, 720)
("'13:24:16.04065'", 1, 810, 515, 1272, 723)
("'13:24:16.04065'", 2, 667, 357, 1084, 491)
("'13:24:16.04065'", 32, 313, 448, 643, 595)
("'13:24:16.04065'", 44, 191, 343, 507, 468)
("'13:24:16.04065'", 52, 447, 232, 701, 351)
