['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:11:01.88273'", 2, 509, 265, 802, 372)
("'13:11:01.88273'", 4, 609, 438, 984, 588)
("'13:11:01.88273'", 5, 551, 542, 1169, 720)
("'13:11:01.88273'", 6, 658, 17, 1010, 299)
("'13:11:02.05374'", 2, 578, 276, 868, 379)
("'13:11:02.05374'", 4, 716, 461, 1119, 619)
("'13:11:02.05374'", 5, 707, 592, 1183, 717)
("'13:11:02.05374'", 6, 723, 98, 1127, 423)
("'13:11:02.05374'", 10, 46, 563, 221, 705)
("'13:11:02.22960'", 4, 780, 503, 1264, 687)
("'13:11:02.22960'", 6, 806, 228, 1235, 577)
("'13:11:02.22960'", 12, 22, 571, 349, 707)
("'13:11:02.40872'", 12, 93, 586, 443, 720)
("'13:11:02.75433'", 19, 807, 411, 1143, 625)
("'13:11:02.92604'", 19, 812, 434, 1257, 714)
("'13:11:03.26990'", 26, 518, 236, 730, 364)
("'13:11:03.62729'", 35, 585, 583, 1282, 719)
("'13:11:03.80262'", 26, 566, 190, 742, 292)
("'13:11:04.01430'", 40, 757, 571, 1287, 716)
("'13:11:04.18516'", 43, 5, 587, 364, 726)
("'13:11:04.18516'", 44, -26, 528, 389, 655)
("'13:11:04.36219'", 44, 5, 570, 489, 717)
("'13:11:04.54418'", 44, 18, 583, 462, 714)
("'13:11:04.71541'", 19, 171, 371, 292, 448)
("'13:11:04.71541'", 49, 14, 72, 147, 317)
("'13:11:04.88603'", 48, 399, 111, 540, 267)
("'13:11:04.88603'", 51, 34, 140, 228, 337)
("'13:11:05.05714'", 30, 988, 412, 1268, 547)
("'13:11:05.22590'", 48, 438, 159, 585, 334)
("'13:11:05.22590'", 52, 80, 237, 284, 405)
("'13:11:05.40179'", 43, 0, 648, 190, 722)
("'13:11:05.40179'", 48, 463, 196, 584, 350)
("'13:11:05.40179'", 52, 111, 269, 355, 444)
("'13:11:05.57396'", 51, 132, 225, 203, 293)
("'13:11:05.57396'", 52, 137, 301, 378, 463)
("'13:11:05.74576'", 52, 185, 338, 392, 457)
("'13:11:05.74576'", 62, 319, 520, 514, 598)
("'13:11:05.91505'", 52, 151, 355, 382, 473)
("'13:11:05.91505'", 63, 0, 644, 320, 717)
("'13:11:05.91505'", 64, 311, 650, 768, 719)
("'13:11:06.08934'", 52, 119, 376, 349, 485)
("'13:11:06.08934'", 63, 2, 642, 343, 719)
("'13:11:06.25775'", 43, 88, 363, 370, 469)
("'13:11:06.25775'", 52, 93, 363, 383, 500)
("'13:11:06.42564'", 62, 201, 364, 491, 481)
("'13:11:06.42564'", 69, -108, 580, 610, 713)
("'13:11:06.59884'", 72, 43, 557, 642, 716)
("'13:11:06.77389'", 72, 169, 529, 838, 719)
("'13:11:06.77389'", 73, -30, 439, 382, 631)
("'13:11:06.77389'", 74, 485, 555, 1214, 720)
("'13:11:06.94912'", 73, 0, 439, 375, 618)
("'13:11:06.94912'", 74, 558, 535, 1324, 713)
("'13:11:07.11665'", 30, 373, 538, 751, 712)
("'13:11:07.11665'", 73, 29, 428, 394, 599)
("'13:11:07.11665'", 79, 680, 538, 1221, 712)
("'13:11:07.32034'", 52, 1, 371, 469, 605)
("'13:11:07.32034'", 79, 699, 520, 1303, 719)
("'13:11:07.49134'", 73, 15, 403, 500, 617)
("'13:11:07.49134'", 79, 758, 546, 1276, 719)
("'13:11:07.49134'", 87, 432, 491, 980, 698)
("'13:11:07.66354'", 79, 774, 547, 1293, 719)
("'13:11:07.66354'", 87, 462, 499, 975, 694)
("'13:11:07.82932'", 87, 558, 523, 1064, 716)
("'13:11:08.00022'", 72, 638, 564, 1168, 713)
("'13:11:08.00022'", 92, 190, 432, 695, 607)
("'13:11:08.00022'", 94, 927, 321, 1304, 480)
("'13:11:08.18536'", 69, 796, 633, 1257, 717)
("'13:11:08.18536'", 87, 767, 512, 1183, 661)
("'13:11:08.18536'", 92, 354, 480, 868, 651)
("'13:11:08.35354'", 92, 451, 507, 1005, 687)
("'13:11:08.69005'", 73, 15, 612, 212, 701)
("'13:11:08.69005'", 74, 619, 565, 1245, 716)
("'13:11:08.85942'", 73, 0, 645, 153, 715)
("'13:11:08.85942'", 74, 631, 571, 1252, 720)
("'13:11:09.02809'", 30, 418, 575, 696, 703)
("'13:11:09.37562'", 72, 947, 606, 1286, 706)
("'13:11:09.37562'", 85, 483, 523, 952, 720)
("'13:11:09.37562'", 107, 19, 91, 214, 308)
("'13:11:09.54519'", 85, 568, 499, 989, 674)
("'13:11:09.54519'", 94, 634, 503, 1000, 667)
("'13:11:09.54519'", 107, 51, 85, 292, 333)
("'13:11:09.71011'", 52, 167, 467, 393, 572)
("'13:11:09.71011'", 62, 146, 465, 417, 573)
("'13:11:09.71011'", 85, 694, 491, 1049, 637)
("'13:11:09.71011'", 107, 67, 101, 338, 307)
("'13:11:09.71011'", 115, 196, 364, 309, 451)
("'13:11:09.71011'", 118, 568, 53, 887, 219)
("'13:11:09.87778'", 30, 420, 382, 633, 479)
("'13:11:09.87778'", 52, 183, 444, 443, 562)
("'13:11:09.87778'", 85, 721, 455, 1127, 621)
("'13:11:09.87778'", 107, 53, 75, 425, 318)
("'13:11:09.87778'", 115, 219, 355, 336, 437)
("'13:11:09.87778'", 121, 128, 635, 576, 716)
("'13:11:09.87778'", 122, -8, 1, 280, 83)
("'13:11:10.04884'", 52, 198, 417, 499, 557)
("'13:11:10.04884'", 62, 195, 435, 468, 542)
("'13:11:10.04884'", 107, 68, 75, 465, 310)
("'13:11:10.23151'", 52, 200, 412, 492, 544)
("'13:11:10.23151'", 92, 678, 432, 1188, 606)
("'13:11:10.23151'", 107, 61, 80, 501, 327)
("'13:11:10.23151'", 132, 129, 326, 255, 414)
("'13:11:10.40687'", 52, 185, 389, 507, 536)
("'13:11:10.40687'", 92, 681, 399, 1218, 577)
("'13:11:10.40687'", 107, 84, 91, 539, 333)
("'13:11:10.40687'", 132, 88, 317, 229, 411)
("'13:11:10.57018'", 52, 194, 386, 514, 537)
("'13:11:10.57018'", 69, 308, 625, 811, 719)
("'13:11:10.57018'", 94, 808, 398, 1240, 573)
("'13:11:10.57018'", 107, 124, 116, 591, 360)
("'13:11:10.57018'", 118, 603, 250, 842, 367)
("'13:11:10.57018'", 132, 94, 329, 229, 411)
("'13:11:10.57018'", 136, 0, 517, 242, 678)
("'13:11:10.77390'", 52, 321, 390, 608, 523)
("'13:11:10.77390'", 69, 443, 639, 875, 718)
("'13:11:10.77390'", 107, 306, 160, 725, 382)
("'13:11:10.77390'", 110, 145, 316, 351, 435)
("'13:11:10.77390'", 138, 9, 428, 230, 571)
("'13:11:10.95079'", 52, 420, 393, 693, 514)
("'13:11:10.95079'", 107, 390, 192, 826, 422)
("'13:11:10.95079'", 136, 1, 600, 170, 711)
("'13:11:10.95079'", 138, 33, 444, 259, 587)
("'13:11:11.12308'", 30, 32, 460, 321, 592)
("'13:11:11.12308'", 52, 490, 400, 755, 513)
("'13:11:11.12308'", 107, 464, 226, 870, 440)
("'13:11:11.12308'", 115, -8, 321, 228, 482)
("'13:11:11.12308'", 132, 7, 339, 236, 476)
("'13:11:11.12308'", 136, 30, 612, 228, 719)
("'13:11:11.12308'", 138, 46, 450, 295, 606)
("'13:11:11.12308'", 145, 269, 323, 437, 435)
("'13:11:11.29383'", 52, 500, 416, 790, 538)
("'13:11:11.29383'", 62, 196, 355, 418, 441)
("'13:11:11.29383'", 107, 518, 253, 953, 482)
("'13:11:11.29383'", 118, 487, 414, 761, 545)
("'13:11:11.46884'", 30, 6, 497, 312, 633)
("'13:11:11.46884'", 62, 116, 343, 383, 454)
("'13:11:11.46884'", 107, 513, 303, 949, 542)
("'13:11:11.63940'", 30, -11, 513, 304, 661)
("'13:11:11.63940'", 62, 0, 351, 341, 494)
("'13:11:11.63940'", 107, 507, 348, 1013, 624)
("'13:11:11.63940'", 138, 60, 320, 391, 514)
("'13:11:11.63940'", 148, 553, 320, 969, 459)
("'13:11:11.80870'", 30, 1, 531, 322, 682)
("'13:11:11.80870'", 79, 38, 4, 292, 86)
("'13:11:11.80870'", 107, 542, 379, 1146, 705)
("'13:11:11.80870'", 132, 64, 341, 376, 523)
("'13:11:11.80870'", 138, 40, 302, 426, 537)
("'13:11:11.98422'", 30, 70, 566, 383, 707)
("'13:11:11.98422'", 79, -26, -4, 422, 163)
("'13:11:11.98422'", 85, 584, 441, 1246, 723)
("'13:11:12.15160'", 79, -5, 1, 523, 221)
("'13:11:12.15160'", 145, 533, 565, 697, 669)
("'13:11:12.15160'", 161, 98, 404, 500, 554)
("'13:11:12.31975'", 107, 845, 346, 1276, 585)
("'13:11:12.31975'", 138, 104, -3, 617, 296)
("'13:11:12.49078'", 62, 124, 410, 531, 572)
("'13:11:12.49078'", 85, 853, 526, 1294, 721)
("'13:11:12.49078'", 92, 793, 538, 1287, 713)
("'13:11:12.49078'", 138, 225, -7, 816, 363)
("'13:11:12.49078'", 146, 779, 80, 890, 209)
("'13:11:12.49078'", 172, 973, 403, 1275, 555)
("'13:11:12.66278'", 62, 216, 429, 520, 549)
("'13:11:12.66278'", 85, 875, 542, 1256, 707)
("'13:11:12.66278'", 92, 815, 547, 1273, 713)
("'13:11:12.66278'", 136, 222, 413, 503, 545)
("'13:11:12.66278'", 138, 341, -3, 1005, 443)
("'13:11:12.83469'", 52, 683, 570, 982, 689)
("'13:11:12.83469'", 85, 940, 555, 1288, 715)
("'13:11:12.83469'", 110, 260, 421, 568, 579)
("'13:11:12.83469'", 132, 516, 437, 711, 545)
("'13:11:12.83469'", 138, 434, 32, 1085, 484)
("'13:11:13.00938'", 52, 651, 548, 968, 685)
("'13:11:13.00938'", 107, 942, 520, 1286, 717)
("'13:11:13.00938'", 110, 236, 421, 518, 560)
("'13:11:13.00938'", 132, 466, 425, 712, 558)
("'13:11:13.00938'", 138, 430, 37, 1196, 579)
("'13:11:13.17936'", 79, 443, 3, 864, 190)
("'13:11:13.17936'", 94, 458, 18, 858, 170)
("'13:11:13.17936'", 115, 219, 397, 488, 569)
("'13:11:13.17936'", 132, 391, 397, 693, 563)
("'13:11:13.17936'", 138, 524, 112, 1213, 596)
("'13:11:13.36181'", 115, 218, 386, 487, 559)
("'13:11:13.36181'", 138, 613, 191, 1258, 653)
("'13:11:13.36181'", 148, 379, -1, 839, 140)
("'13:11:13.53192'", 136, 441, 381, 842, 570)
("'13:11:13.53192'", 138, 646, 234, 1315, 704)
("'13:11:13.70772'", 52, 498, 385, 941, 568)
("'13:11:13.70772'", 62, 451, 387, 888, 558)
("'13:11:13.70772'", 138, 776, 316, 1304, 712)
("'13:11:13.70772'", 148, 426, 10, 907, 149)
("'13:11:13.87667'", 62, 503, 381, 971, 560)
("'13:11:13.87667'", 92, 565, 400, 928, 527)
