['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:13:59.01881'", 1, 557, 207, 1336, 601)
("'13:13:59.01881'", 2, 92, 1, 1185, 206)
("'13:13:59.01881'", 3, 13, 115, 337, 367)
("'13:13:59.01881'", 5, 354, 170, 896, 333)
("'13:13:59.01881'", 8, 783, 605, 1350, 716)
("'13:14:00.29963'", 10, 511, 1, 1356, 207)
("'13:14:00.29963'", 24, 697, 156, 1220, 381)
("'13:14:00.29963'", 29, 471, 418, 1351, 720)
("'13:14:00.29963'", 32, 57, 30, 771, 543)
("'13:14:00.52578'", 10, 574, 4, 1460, 279)
("'13:14:00.52578'", 32, 239, 131, 1038, 560)
("'13:14:00.52578'", 40, 0, 0, 803, 165)
("'13:14:00.73768'", 5, 215, 12, 874, 220)
("'13:14:00.73768'", 11, 14, 59, 241, 191)
("'13:14:00.73768'", 32, 159, 129, 1171, 602)
("'13:14:00.94891'", 1, 951, 43, 1267, 219)
("'13:14:00.94891'", 5, 422, 13, 974, 192)
("'13:14:00.94891'", 11, 25, 42, 316, 202)
("'13:14:00.94891'", 23, 60, 333, 1028, 620)
("'13:14:00.94891'", 32, 510, 182, 1291, 559)
("'13:14:00.94891'", 49, -15, 567, 531, 717)
("'13:14:00.94891'", 50, 37, 191, 292, 336)
("'13:14:01.18060'", 2, 528, 0, 1166, 185)
("'13:14:01.18060'", 5, 554, -2, 1131, 191)
("'13:14:01.18060'", 11, 101, 10, 429, 167)
("'13:14:01.18060'", 24, 258, 252, 947, 546)
("'13:14:01.18060'", 50, 96, 172, 359, 299)
("'13:14:01.18060'", 61, -21, 522, 628, 717)
("'13:14:01.40391'", 2, 658, 0, 1231, 156)
("'13:14:01.40391'", 47, 542, 197, 1284, 523)
("'13:14:01.40391'", 61, -35, 472, 782, 720)
("'13:14:01.40391'", 63, 63, 0, 433, 167)
("'13:14:01.40391'", 68, -10, 21, 516, 354)
("'13:14:01.61810'", 2, 701, 0, 1252, 143)
("'13:14:01.61810'", 5, 794, 2, 1231, 146)
("'13:14:01.61810'", 23, 25, 479, 859, 721)
("'13:14:01.61810'", 32, 722, 163, 1304, 469)
("'13:14:01.61810'", 49, 404, 450, 1039, 651)
("'13:14:01.61810'", 68, -6, 2, 586, 380)
("'13:14:01.61810'", 79, 465, 185, 1032, 414)
("'13:14:01.79772'", 25, 1049, 125, 1265, 217)
("'13:14:01.79772'", 68, 66, 34, 620, 362)
("'13:14:01.79772'", 79, 584, 197, 1017, 379)
("'13:14:01.79772'", 82, 520, 79, 918, 205)
("'13:14:01.79772'", 86, 578, 440, 1038, 634)
("'13:14:01.95852'", 1, 1113, 140, 1267, 230)
