['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:22:21.90343'", 1, 90, 1, 572, 184)
("'13:22:21.90343'", 3, 519, 227, 1334, 501)
("'13:22:21.90343'", 4, 61, 212, 196, 428)
("'13:22:21.90343'", 8, 458, 88, 694, 183)
("'13:22:21.90343'", 9, 84, 473, 808, 718)
("'13:22:21.90343'", 10, 429, 355, 1286, 698)
("'13:22:22.08895'", 1, 268, 52, 595, 188)
("'13:22:22.08895'", 3, 594, 182, 1487, 523)
("'13:22:22.08895'", 4, 99, 264, 281, 434)
("'13:22:22.08895'", 8, 558, 80, 799, 179)
("'13:22:22.08895'", 9, 246, 463, 1032, 716)
("'13:22:22.08895'", 14, 702, 358, 1341, 712)
("'13:22:22.08895'", 16, 354, 195, 721, 311)
("'13:22:22.28102'", 1, 347, 79, 662, 215)
("'13:22:22.28102'", 4, 105, 271, 395, 444)
("'13:22:22.28102'", 8, 623, 82, 887, 199)
("'13:22:22.28102'", 9, 270, 467, 1073, 717)
("'13:22:22.28102'", 21, 857, 236, 1262, 552)
("'13:22:22.28102'", 23, 469, 210, 755, 317)
("'13:22:22.46016'", 1, 381, 104, 665, 230)
("'13:22:22.46016'", 4, 91, 283, 441, 455)
("'13:22:22.46016'", 8, 668, 107, 891, 205)
("'13:22:22.46016'", 9, 362, 469, 1127, 711)
("'13:22:22.46016'", 21, 1003, 335, 1244, 519)
("'13:22:22.46016'", 24, -13, 394, 273, 555)
("'13:22:22.64044'", 1, 407, 124, 695, 253)
("'13:22:22.64044'", 4, 106, 311, 457, 449)
("'13:22:22.64044'", 8, 675, 131, 889, 222)
("'13:22:22.64044'", 9, 353, 461, 1176, 720)
("'13:22:22.64044'", 21, 1028, 341, 1275, 526)
("'13:22:22.64044'", 23, 378, 126, 699, 247)
("'13:22:22.64044'", 24, -5, 402, 281, 564)
("'13:22:22.64044'", 34, 62, 588, 402, 717)
("'13:22:22.82174'", 1, 382, 143, 686, 282)
("'13:22:22.82174'", 4, 71, 331, 510, 478)
("'13:22:22.82174'", 8, 673, 157, 920, 263)
("'13:22:22.82174'", 9, 426, 485, 1172, 715)
("'13:22:22.82174'", 24, 10, 421, 314, 593)
("'13:22:22.82174'", 39, 498, 246, 799, 339)
("'13:22:23.00433'", 1, 401, 169, 710, 314)
("'13:22:23.00433'", 4, 108, 337, 569, 490)
("'13:22:23.00433'", 9, 427, 478, 1185, 714)
("'13:22:23.00433'", 24, 12, 419, 355, 608)
("'13:22:23.00433'", 41, 695, 46, 1151, 544)
("'13:22:23.18761'", 9, 468, 479, 1239, 716)
("'13:22:23.18761'", 24, 25, 385, 422, 586)
("'13:22:23.18761'", 41, 458, 103, 988, 518)
("'13:22:23.18761'", 46, 52, 644, 642, 716)
("'13:22:23.37224'", 9, 497, 460, 1300, 713)
("'13:22:23.37224'", 34, 67, 442, 487, 587)
("'13:22:23.37224'", 41, 267, 151, 861, 488)
("'13:22:23.58916'", 1, 504, 337, 791, 470)
("'13:22:23.58916'", 3, 932, 215, 1184, 318)
("'13:22:23.58916'", 8, 745, 274, 998, 385)
("'13:22:23.58916'", 9, 595, 477, 1315, 716)
("'13:22:23.58916'", 41, -3, 160, 685, 547)
("'13:22:23.58916'", 43, 615, 477, 1305, 716)
("'13:22:23.58916'", 47, 1010, 332, 1313, 521)
("'13:22:23.58916'", 50, 218, 411, 665, 558)
("'13:22:23.76895'", 23, 23, 26, 234, 103)
("'13:22:23.76895'", 24, 230, 514, 460, 613)
("'13:22:23.76895'", 39, 535, 334, 904, 450)
("'13:22:23.76895'", 41, -94, 170, 530, 564)
("'13:22:23.76895'", 43, 712, 489, 1310, 710)
("'13:22:23.76895'", 50, 346, 413, 758, 546)
("'13:22:23.95528'", 3, 985, 208, 1249, 315)
("'13:22:23.95528'", 7, 417, 585, 1008, 721)
("'13:22:23.95528'", 41, -24, 207, 478, 540)
("'13:22:23.95528'", 43, 760, 477, 1330, 718)
("'13:22:23.95528'", 50, 505, 401, 861, 516)
("'13:22:23.95528'", 62, 103, 201, 404, 546)
("'13:22:23.95528'", 63, -5, 157, 505, 353)
("'13:22:23.95528'", 64, 744, 180, 902, 289)
("'13:22:24.13721'", 1, 590, 396, 880, 520)
("'13:22:24.13721'", 7, 444, 569, 1072, 721)
("'13:22:24.13721'", 8, 925, 265, 1170, 370)
("'13:22:24.13721'", 9, 649, 308, 1019, 435)
("'13:22:24.13721'", 21, 834, 471, 1257, 723)
("'13:22:24.13721'", 40, 1112, 213, 1284, 294)
("'13:22:24.13721'", 41, 55, 221, 486, 473)
("'13:22:24.13721'", 64, 757, 182, 896, 277)
("'13:22:24.31674'", 4, 3, 402, 465, 542)
("'13:22:24.31674'", 34, 597, 352, 1077, 518)
("'13:22:24.31674'", 47, 1109, 212, 1277, 314)
