['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:04:15.42028'", 4, -76, 40, 979, 703)
("'13:04:15.42028'", 25, 467, 10, 1431, 381)
("'13:04:15.68892'", 4, 97, 35, 1186, 698)
("'13:04:15.68892'", 9, 725, 464, 1299, 718)
("'13:04:15.93324'", 4, 70, 16, 1215, 693)
("'13:04:15.93324'", 9, 715, 458, 1287, 714)
("'13:04:16.21305'", 7, -13, 7, 1281, 586)
("'13:04:16.21305'", 25, 26, 42, 1266, 542)
("'13:04:16.48007'", 4, 229, 480, 618, 694)
("'13:04:16.48007'", 25, 92, 48, 1191, 475)
("'13:04:16.48007'", 39, 422, 422, 1059, 600)
("'13:04:16.48007'", 40, 28, 373, 192, 597)
("'13:04:18.79877'", 4, 646, 501, 1096, 710)
("'13:04:18.79877'", 5, 864, 318, 1226, 476)
("'13:04:18.79877'", 13, 435, 268, 827, 480)
("'13:04:18.79877'", 40, 41, 41, 581, 647)
("'13:04:18.79877'", 53, 332, 0, 1344, 303)
("'13:04:18.79877'", 54, 664, 476, 1101, 721)
("'13:04:19.07832'", 13, 498, 262, 896, 472)
("'13:04:19.07832'", 40, 102, 132, 669, 651)
("'13:04:19.07832'", 53, 449, 0, 1349, 302)
("'13:04:19.07832'", 68, 645, 197, 1028, 318)
("'13:04:19.33817'", 13, 509, 237, 994, 481)
("'13:04:19.33817'", 19, 1036, 312, 1275, 444)
("'13:04:19.33817'", 40, 112, 161, 753, 650)
("'13:04:19.33817'", 68, 731, 206, 1068, 322)
("'13:04:20.65377'", 13, 669, 254, 1305, 610)
("'13:04:20.65377'", 14, 149, 259, 742, 478)
("'13:04:20.65377'", 85, 198, 253, 695, 476)
("'13:04:20.65377'", 92, 64, 413, 483, 631)
("'13:04:20.65377'", 93, 6, 583, 344, 711)
("'13:04:20.91472'", 13, 772, 279, 1298, 598)
("'13:04:20.91472'", 14, 212, 280, 845, 516)
("'13:04:20.91472'", 85, 242, 264, 827, 530)
("'13:04:20.91472'", 91, 32, 586, 288, 718)
("'13:04:20.91472'", 92, 129, 423, 571, 620)
("'13:04:20.91472'", 93, 0, 589, 316, 711)
("'13:04:21.16897'", 13, 1006, 286, 1273, 449)
("'13:04:21.16897'", 85, 283, 283, 846, 542)
("'13:04:21.16897'", 92, 123, 412, 609, 608)
("'13:04:21.16897'", 93, -1, 585, 328, 713)
("'13:04:21.42542'", 85, 452, 293, 1038, 569)
("'13:04:21.42542'", 92, 303, 413, 792, 608)
("'13:04:21.42542'", 93, 28, 552, 447, 711)
("'13:04:22.71796'", 4, 788, 183, 1272, 385)
("'13:04:22.71796'", 14, 772, 177, 1287, 361)
("'13:04:22.71796'", 59, 810, 374, 1295, 662)
("'13:04:22.71796'", 91, 46, 109, 666, 389)
("'13:04:22.71796'", 105, -47, 0, 213, 162)
("'13:04:22.93499'", 19, 925, 139, 1290, 387)
("'13:04:22.93499'", 59, 930, 398, 1344, 677)
("'13:04:22.93499'", 68, 20, 96, 821, 383)
("'13:04:22.93499'", 105, 5, 5, 311, 195)
("'13:04:22.93499'", 106, 132, 434, 1172, 707)
("'13:04:23.14299'", 4, 758, 202, 1283, 427)
("'13:04:23.14299'", 68, 156, 83, 963, 378)
("'13:04:23.14299'", 93, 328, 418, 1275, 719)
