['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:22:37.76840'", 1, 871, 288, 1243, 464)
("'13:22:37.76840'", 3, 61, 299, 798, 642)
("'13:22:37.76840'", 5, 311, 513, 903, 660)
("'13:22:37.94812'", 1, 852, 304, 1259, 494)
("'13:22:37.94812'", 3, 145, 335, 858, 676)
("'13:22:37.94812'", 9, 152, 263, 690, 427)
("'13:22:38.12776'", 1, 912, 330, 1318, 533)
("'13:22:38.12776'", 3, 296, 391, 937, 689)
("'13:22:38.12776'", 9, 234, 269, 806, 449)
("'13:22:38.12776'", 15, 725, 451, 994, 572)
("'13:22:38.12776'", 18, 36, 268, 236, 410)
("'13:22:38.33814'", 1, 1002, 374, 1320, 555)
("'13:22:38.33814'", 3, 463, 455, 1034, 714)
("'13:22:38.33814'", 9, 380, 290, 895, 456)
("'13:22:38.33814'", 15, 842, 491, 1094, 605)
("'13:22:38.33814'", 18, 60, 294, 293, 439)
("'13:22:38.33814'", 21, 60, 6, 535, 232)
("'13:22:38.33814'", 24, 13, 387, 166, 514)
("'13:22:38.52417'", 3, 563, 479, 1121, 720)
("'13:22:38.52417'", 9, 552, 320, 1002, 468)
("'13:22:38.52417'", 15, 883, 513, 1203, 654)
("'13:22:38.52417'", 18, 76, 332, 374, 469)
("'13:22:38.52417'", 21, 264, 128, 661, 339)
("'13:22:38.52417'", 26, 517, 448, 941, 574)
("'13:22:38.52417'", 27, 138, 0, 897, 163)
("'13:22:38.52417'", 29, -10, 573, 375, 719)
("'13:22:38.52417'", 31, 1034, 364, 1212, 489)
("'13:22:38.70690'", 9, 663, 341, 1144, 499)
("'13:22:38.70690'", 15, 968, 570, 1286, 710)
("'13:22:38.70690'", 18, 106, 338, 487, 503)
("'13:22:38.70690'", 21, 417, 221, 844, 456)
("'13:22:38.70690'", 22, 1109, 387, 1273, 480)
("'13:22:38.70690'", 23, 508, 19, 879, 236)
("'13:22:38.70690'", 24, -23, 397, 273, 649)
("'13:22:38.70690'", 26, 588, 479, 1017, 610)
("'13:22:38.70690'", 29, 0, 553, 441, 721)
("'13:22:38.70690'", 36, 668, 537, 1187, 712)
("'13:22:38.88935'", 18, 211, 382, 550, 521)
("'13:22:38.88935'", 21, 626, 324, 1180, 609)
("'13:22:38.88935'", 23, 661, 69, 1120, 334)
("'13:22:38.88935'", 24, 10, 339, 398, 684)
("'13:22:38.88935'", 36, 697, 535, 1228, 710)
("'13:22:38.88935'", 37, 5, 72, 158, 337)
("'13:22:38.88935'", 39, 891, 351, 1254, 522)
("'13:22:39.06977'", 3, 855, 392, 1276, 573)
("'13:22:39.06977'", 21, 710, 356, 1373, 720)
("'13:22:39.06977'", 23, 765, 130, 1276, 427)
("'13:22:39.06977'", 24, 16, 256, 538, 695)
("'13:22:39.06977'", 37, 49, 143, 198, 359)
("'13:22:39.24684'", 1, 928, 411, 1267, 602)
("'13:22:39.24684'", 21, 885, 480, 1306, 713)
("'13:22:39.24684'", 23, 862, 213, 1320, 506)
("'13:22:39.24684'", 24, 40, 224, 645, 695)
("'13:22:39.42399'", 23, 927, 294, 1348, 610)
("'13:22:39.42399'", 24, 147, 255, 697, 619)
("'13:22:39.42399'", 48, 788, 504, 1187, 676)
("'13:22:39.60649'", 1, 826, 477, 1190, 677)
("'13:22:39.60649'", 23, 1038, 348, 1330, 602)
("'13:22:39.60649'", 29, 39, 260, 893, 585)
("'13:22:39.60649'", 48, 791, 476, 1247, 675)
("'13:22:39.79407'", 29, 211, 252, 991, 512)
("'13:22:39.79407'", 48, 868, 469, 1215, 620)
("'13:22:39.79407'", 51, 955, 580, 1272, 708)
("'13:22:39.97976'", 18, 339, 406, 980, 649)
("'13:22:39.97976'", 29, 404, 232, 1205, 479)
("'13:22:39.97976'", 48, 932, 467, 1266, 611)
("'13:22:39.97976'", 51, 940, 617, 1203, 716)
("'13:22:39.97976'", 53, -61, 296, 470, 559)
("'13:22:39.97976'", 56, 7, 140, 356, 394)
("'13:22:40.17068'", 18, 449, 365, 1082, 614)
("'13:22:40.17068'", 24, 118, 154, 483, 380)
("'13:22:40.17068'", 29, 548, 211, 1351, 475)
("'13:22:40.17068'", 53, 90, 331, 517, 518)
("'13:22:40.35173'", 18, 608, 354, 1279, 620)
("'13:22:40.35173'", 24, 237, 189, 576, 388)
("'13:22:40.35173'", 39, 743, 213, 1292, 479)
("'13:22:40.35173'", 53, 165, 328, 644, 532)
("'13:22:40.35173'", 59, 564, 582, 788, 659)
("'13:22:40.35173'", 61, 0, 126, 161, 348)
("'13:22:40.35173'", 62, 44, 469, 307, 713)
("'13:22:40.53689'", 3, 1105, 645, 1277, 718)
("'13:22:40.53689'", 18, 751, 382, 1350, 638)
("'13:22:40.53689'", 24, 387, 244, 644, 382)
("'13:22:40.53689'", 39, 891, 235, 1339, 497)
("'13:22:40.53689'", 53, 302, 316, 796, 518)
("'13:22:40.53689'", 59, 602, 583, 870, 677)
("'13:22:40.53689'", 61, 28, 26, 280, 365)
("'13:22:40.53689'", 62, 105, 534, 369, 720)
("'13:22:40.72235'", 18, 772, 413, 1303, 659)
("'13:22:40.72235'", 52, 340, 337, 930, 510)
("'13:22:40.72235'", 53, 386, 325, 883, 524)
("'13:22:40.72235'", 56, 13, 120, 404, 393)
("'13:22:40.72235'", 59, 614, 582, 913, 697)
("'13:22:40.72235'", 61, 65, 94, 336, 399)
("'13:22:40.72235'", 62, 85, 553, 411, 717)
("'13:22:40.90116'", 18, 755, 433, 1279, 680)
("'13:22:40.90116'", 27, -2, 578, 518, 702)
("'13:22:40.90116'", 52, 408, 360, 918, 511)
("'13:22:40.90116'", 53, 465, 352, 892, 515)
("'13:22:40.90116'", 56, 23, 153, 441, 439)
("'13:22:40.90116'", 62, 102, 576, 421, 705)
("'13:22:41.08487'", 18, 810, 452, 1306, 701)
("'13:22:41.08487'", 52, 460, 388, 896, 522)
("'13:22:41.08487'", 53, 508, 382, 900, 529)
("'13:22:41.08487'", 56, 13, 183, 472, 487)
("'13:22:41.08487'", 66, 615, 489, 1027, 650)
("'13:22:41.26027'", 23, 1025, 489, 1273, 712)
("'13:22:41.26027'", 39, 945, 499, 1295, 730)
("'13:22:41.26027'", 53, 534, 401, 985, 573)
("'13:22:41.26027'", 56, 59, 265, 500, 533)
("'13:22:41.44172'", 23, 1084, 523, 1295, 716)
("'13:22:41.44172'", 24, 645, 412, 1042, 598)
("'13:22:41.44172'", 36, 745, 574, 1072, 685)
("'13:22:41.44172'", 53, 648, 426, 1057, 580)
("'13:22:41.44172'", 56, 76, 294, 592, 567)
("'13:22:41.44172'", 66, 754, 572, 1054, 688)
("'13:22:41.61626'", 23, 1127, 543, 1288, 703)
("'13:22:41.61626'", 53, 677, 423, 1124, 598)
("'13:22:41.61626'", 56, 155, 344, 699, 598)
("'13:22:41.61626'", 66, 789, 577, 1127, 703)
("'13:22:41.82713'", 24, 839, 433, 1243, 616)
("'13:22:41.82713'", 56, 271, 373, 877, 640)
("'13:22:41.82713'", 74, 870, 579, 1269, 713)
("'13:22:41.82713'", 75, 38, 468, 275, 617)
("'13:22:41.82713'", 76, 39, 371, 269, 477)
("'13:22:42.01209'", 24, 958, 457, 1325, 631)
("'13:22:42.01209'", 39, 998, 461, 1269, 634)
("'13:22:42.01209'", 51, 41, 459, 474, 617)
("'13:22:42.01209'", 56, 469, 440, 960, 656)
("'13:22:42.19142'", 51, 179, 463, 542, 600)
("'13:22:42.19142'", 56, 590, 462, 1073, 674)
("'13:22:42.19142'", 61, 1116, 475, 1287, 672)
("'13:22:42.36821'", 18, 637, 468, 1068, 683)
("'13:22:42.36821'", 56, 661, 482, 1096, 668)
("'13:22:42.36821'", 61, 1125, 486, 1275, 634)
("'13:22:42.36821'", 62, 13, 464, 245, 558)
("'13:22:42.36821'", 75, 230, 350, 439, 480)
("'13:22:42.36821'", 76, 221, 353, 497, 479)
("'13:22:42.54374'", 51, 336, 491, 591, 587)
("'13:22:42.54374'", 56, 685, 473, 1153, 676)
("'13:22:42.54374'", 59, 473, 419, 667, 493)
("'13:22:42.54374'", 61, 1159, 499, 1303, 650)
("'13:22:42.54374'", 87, 475, 421, 650, 496)
("'13:22:42.72143'", 36, 442, 407, 673, 483)
("'13:22:42.72143'", 51, 282, 460, 615, 588)
("'13:22:42.72143'", 53, 703, 496, 1132, 665)
("'13:22:42.72143'", 59, 462, 411, 664, 489)
("'13:22:42.72143'", 62, 10, 465, 210, 546)
("'13:22:42.90225'", 52, 455, 417, 663, 484)
("'13:22:42.90225'", 53, 759, 522, 1087, 645)
("'13:22:42.90225'", 93, 224, 354, 425, 431)
("'13:22:42.90225'", 94, -31, 562, 531, 719)
("'13:22:43.07615'", 94, -6, 556, 546, 715)
("'13:22:43.07615'", 97, 688, 530, 1251, 719)
("'13:22:43.25353'", 51, 371, 448, 702, 571)
("'13:22:43.25353'", 94, 56, 564, 600, 717)
("'13:22:43.25353'", 97, 744, 549, 1246, 717)
("'13:22:43.42842'", 59, 464, 416, 763, 538)
("'13:22:43.42842'", 87, 282, 326, 503, 420)
("'13:22:43.42842'", 94, 99, 582, 631, 711)
("'13:22:43.42842'", 97, 772, 556, 1276, 720)
("'13:22:43.42842'", 100, 296, 333, 516, 412)
("'13:22:43.60889'", 18, 502, 410, 781, 548)
("'13:22:43.60889'", 53, 819, 541, 1302, 725)
("'13:22:43.60889'", 56, 909, 550, 1290, 719)
("'13:22:43.60889'", 94, 94, 562, 793, 711)
("'13:22:43.60889'", 101, -25, 395, 266, 549)
("'13:22:43.78123'", 18, 539, 398, 830, 544)
("'13:22:43.78123'", 56, 924, 554, 1284, 719)
("'13:22:43.78123'", 59, 564, 417, 850, 535)
("'13:22:43.78123'", 94, 219, 564, 968, 718)
("'13:22:43.78123'", 100, 413, 340, 606, 412)
("'13:22:43.96169'", 56, 970, 580, 1259, 715)
("'13:22:43.96169'", 75, 625, 401, 907, 569)
("'13:22:43.96169'", 76, 414, 385, 622, 482)
("'13:22:43.96169'", 94, 399, 575, 1102, 719)
("'13:22:43.96169'", 100, 475, 345, 662, 414)
("'13:22:43.96169'", 101, 0, 370, 326, 544)
("'13:22:43.96169'", 107, 80, 579, 402, 718)
("'13:22:43.96169'", 108, 18, 106, 278, 482)
("'13:22:44.14350'", 18, 719, 403, 999, 547)
("'13:22:44.14350'", 39, 1108, 491, 1276, 589)
("'13:22:44.14350'", 59, 706, 420, 996, 539)
("'13:22:44.14350'", 62, -15, 573, 285, 716)
("'13:22:44.14350'", 76, 465, 386, 647, 469)
("'13:22:44.14350'", 93, 8, 400, 414, 553)
("'13:22:44.14350'", 94, 538, 584, 1197, 719)
("'13:22:44.14350'", 100, 529, 349, 723, 417)
("'13:22:44.14350'", 108, 98, 193, 323, 472)
("'13:22:44.32218'", 59, 762, 427, 1063, 546)
("'13:22:44.32218'", 87, 19, 231, 604, 480)
("'13:22:44.32218'", 93, 88, 414, 548, 559)
("'13:22:44.32218'", 94, 724, 613, 1257, 719)
("'13:22:44.32218'", 108, 139, 233, 436, 485)
("'13:22:44.49819'", 59, 826, 434, 1095, 541)
("'13:22:44.49819'", 75, 805, 414, 1061, 565)
("'13:22:44.49819'", 87, 46, 261, 672, 489)
("'13:22:44.49819'", 94, 842, 642, 1246, 718)
("'13:22:44.49819'", 102, 13, 532, 162, 644)
("'13:22:44.67614'", 53, 831, 434, 1070, 526)
("'13:22:44.67614'", 87, 93, 273, 800, 529)
("'13:22:44.67614'", 94, 881, 641, 1265, 713)
("'13:22:44.67614'", 101, 7, 522, 230, 637)
("'13:22:44.67614'", 113, 19, 197, 242, 326)
("'13:22:44.85539'", 51, 247, 300, 800, 507)
("'13:22:44.85539'", 53, 818, 449, 1036, 535)
("'13:22:44.85539'", 97, 836, 451, 1058, 524)
("'13:22:44.85539'", 113, 25, 222, 257, 348)
("'13:22:44.85539'", 117, 32, 556, 584, 709)
("'13:22:44.85539'", 118, 986, 55, 1282, 357)
("'13:22:44.85539'", 119, -12, 378, 301, 540)
("'13:22:44.85539'", 122, 4, 526, 280, 638)
("'13:22:45.03485'", 51, 350, 312, 865, 509)
("'13:22:45.03485'", 56, 963, 550, 1285, 710)
("'13:22:45.03485'", 87, 348, 450, 743, 595)
("'13:22:45.03485'", 113, 33, 216, 311, 367)
("'13:22:45.03485'", 117, 12, 578, 524, 720)
("'13:22:45.03485'", 118, 999, 102, 1299, 423)
("'13:22:45.03485'", 119, 46, 387, 313, 521)
("'13:22:45.24234'", 51, 438, 318, 900, 494)
("'13:22:45.24234'", 56, 946, 484, 1325, 702)
("'13:22:45.24234'", 87, 326, 451, 792, 627)
("'13:22:45.24234'", 108, 971, 462, 1271, 712)
