['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:22:54.11316'", 1, 718, 252, 1331, 497)
("'13:22:54.11316'", 3, 590, 503, 1060, 659)
("'13:22:54.11316'", 4, 662, 374, 1136, 557)
("'13:22:54.11316'", 5, 39, 399, 588, 597)
("'13:22:54.11316'", 6, 43, 286, 303, 388)
("'13:22:54.11316'", 7, 359, 291, 562, 362)
("'13:22:54.11316'", 8, 18, 649, 506, 717)
("'13:22:54.30420'", 1, 736, 318, 1379, 615)
("'13:22:54.30420'", 3, 719, 549, 1112, 677)
("'13:22:54.30420'", 5, 213, 396, 694, 579)
("'13:22:54.30420'", 6, 128, 316, 400, 410)
("'13:22:54.30420'", 7, 443, 314, 625, 379)
("'13:22:54.30420'", 8, 121, 655, 591, 719)
("'13:22:54.30420'", 13, 42, 415, 262, 633)
("'13:22:54.47738'", 1, 839, 410, 1273, 612)
("'13:22:54.47738'", 2, 1007, 346, 1260, 490)
("'13:22:54.47738'", 3, 725, 553, 1153, 695)
("'13:22:54.47738'", 5, 332, 409, 734, 561)
("'13:22:54.47738'", 6, 178, 336, 465, 429)
("'13:22:54.47738'", 13, 50, 394, 358, 661)
("'13:22:54.47738'", 15, 677, 371, 822, 434)
("'13:22:54.67428'", 1, 859, 455, 1283, 659)
("'13:22:54.67428'", 5, 359, 447, 772, 605)
("'13:22:54.67428'", 6, 251, 381, 565, 473)
("'13:22:54.67428'", 11, -14, 451, 536, 669)
("'13:22:54.67428'", 13, 96, 431, 434, 659)
("'13:22:54.85783'", 2, 958, 508, 1286, 698)
("'13:22:54.85783'", 4, 964, 445, 1179, 527)
("'13:22:54.85783'", 5, 436, 460, 822, 615)
("'13:22:54.85783'", 6, 222, 412, 535, 500)
("'13:22:54.85783'", 11, 29, 450, 599, 691)
("'13:22:54.85783'", 15, 699, 447, 865, 518)
("'13:22:54.85783'", 22, 678, 444, 872, 508)
("'13:22:54.85783'", 26, 533, 396, 702, 458)
("'13:22:54.85783'", 27, 849, 639, 1244, 717)
("'13:22:55.04252'", 2, 1014, 544, 1293, 720)
("'13:22:55.04252'", 4, 956, 448, 1193, 536)
("'13:22:55.04252'", 5, 539, 497, 804, 603)
("'13:22:55.04252'", 11, 59, 475, 633, 702)
("'13:22:55.04252'", 26, 526, 404, 692, 467)
("'13:22:55.22642'", 1, 993, 563, 1278, 705)
("'13:22:55.22642'", 2, 1022, 554, 1280, 717)
("'13:22:55.22642'", 4, 1010, 443, 1218, 521)
("'13:22:55.22642'", 5, 577, 493, 839, 598)
("'13:22:55.22642'", 6, 278, 440, 574, 519)
("'13:22:55.22642'", 11, 61, 471, 743, 713)
