['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:07:49.52459'", 1, 97, 245, 616, 552)
("'13:07:49.52459'", 2, 666, 270, 1007, 404)
("'13:07:49.52459'", 3, 56, 522, 461, 709)
("'13:07:49.52459'", 4, 510, 438, 987, 627)
("'13:07:49.52459'", 5, 924, 206, 1296, 386)
("'13:07:49.70275'", 1, 118, 255, 693, 545)
("'13:07:49.70275'", 2, 730, 290, 1002, 397)
("'13:07:49.70275'", 3, 84, 504, 545, 705)
("'13:07:49.70275'", 4, 628, 449, 1096, 627)
("'13:07:49.70275'", 5, 994, 211, 1336, 400)
("'13:07:49.87689'", 1, 158, 231, 858, 537)
("'13:07:49.87689'", 3, 104, 504, 594, 694)
("'13:07:49.87689'", 4, 673, 448, 1184, 625)
("'13:07:49.87689'", 5, 1049, 193, 1367, 413)
("'13:07:50.05581'", 1, 225, 244, 1018, 553)
("'13:07:50.05581'", 3, 106, 492, 700, 707)
("'13:07:50.05581'", 4, 610, 411, 1330, 674)
("'13:07:50.25151'", 1, 270, 256, 1154, 561)
("'13:07:50.25151'", 3, 177, 497, 764, 697)
("'13:07:50.25151'", 11, 64, 223, 397, 368)
("'13:07:50.25151'", 13, 17, 327, 486, 633)
("'13:07:50.43981'", 1, 371, 278, 1299, 589)
("'13:07:50.43981'", 3, 272, 538, 852, 711)
("'13:07:50.43981'", 11, -10, 233, 353, 404)
("'13:07:50.43981'", 13, 93, 376, 552, 636)
("'13:07:50.64628'", 1, 427, 296, 1366, 636)
("'13:07:50.64628'", 3, 329, 565, 871, 705)
("'13:07:50.64628'", 11, 4, 232, 351, 407)
("'13:07:50.64628'", 13, 79, 374, 665, 655)
("'13:07:50.82411'", 1, 535, 322, 1345, 645)
("'13:07:50.82411'", 11, 69, 253, 392, 417)
("'13:07:50.82411'", 13, 188, 405, 820, 657)
("'13:07:51.00845'", 1, 787, 366, 1314, 584)
("'13:07:51.00845'", 11, 150, 262, 488, 432)
