['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:03:08.24816'", 1, 776, 375, 1296, 571)
("'13:03:08.24816'", 2, 163, 302, 573, 495)
("'13:03:08.24816'", 3, 709, 295, 1180, 438)
("'13:03:08.24816'", 4, 544, 256, 800, 373)
("'13:03:08.24816'", 5, 505, 605, 800, 704)
("'13:03:08.24816'", 7, 6, 266, 202, 414)
("'13:03:08.24816'", 9, 952, 531, 1268, 716)
("'13:03:08.44237'", 2, 334, 281, 748, 463)
("'13:03:08.44237'", 3, 800, 275, 1332, 453)
("'13:03:08.44237'", 4, 602, 237, 900, 372)
("'13:03:08.44237'", 7, 65, 269, 264, 398)
("'13:03:08.44237'", 11, 182, 595, 553, 712)
("'13:03:08.44237'", 14, 13, 395, 155, 507)
("'13:03:08.61678'", 2, 422, 280, 867, 463)
("'13:03:08.61678'", 3, 910, 288, 1314, 434)
("'13:03:08.61678'", 7, 119, 268, 331, 392)
("'13:03:08.61678'", 9, 995, 411, 1251, 559)
("'13:03:08.61678'", 15, 42, 522, 254, 670)
("'13:03:08.61678'", 16, 252, 602, 694, 707)
("'13:03:08.79339'", 2, 530, 312, 943, 472)
("'13:03:08.79339'", 3, 957, 295, 1327, 447)
("'13:03:08.79339'", 4, 741, 222, 1072, 367)
("'13:03:08.79339'", 7, 161, 268, 365, 373)
("'13:03:08.79339'", 14, 29, 403, 202, 521)
("'13:03:08.79339'", 15, 77, 529, 304, 671)
("'13:03:08.79339'", 17, 699, 233, 1056, 361)
("'13:03:08.79339'", 19, 223, 364, 663, 549)
("'13:03:08.79339'", 20, 18, 3, 410, 87)
("'13:03:08.97850'", 2, 611, 322, 1061, 490)
("'13:03:08.97850'", 7, 138, 257, 400, 382)
("'13:03:08.97850'", 9, 1033, 325, 1274, 459)
("'13:03:08.97850'", 14, 8, 410, 223, 540)
("'13:03:08.97850'", 17, 729, 227, 1152, 377)
("'13:03:08.97850'", 19, 263, 391, 651, 560)
("'13:03:08.97850'", 24, 6, 525, 352, 701)
("'13:03:09.15444'", 2, 659, 343, 1117, 514)
("'13:03:09.15444'", 7, 95, 268, 383, 398)
("'13:03:09.15444'", 17, 708, 237, 1173, 404)
("'13:03:09.15444'", 19, 268, 441, 618, 591)
("'13:03:09.15444'", 24, -29, 536, 308, 716)
("'13:03:09.32703'", 7, 65, 272, 371, 401)
("'13:03:09.32703'", 11, 664, 350, 1250, 544)
("'13:03:09.32703'", 12, -20, 380, 270, 683)
("'13:03:09.32703'", 17, 721, 262, 1180, 421)
("'13:03:09.32703'", 19, 236, 472, 633, 644)
("'13:03:09.32703'", 24, -144, 394, 380, 704)
("'13:03:09.32703'", 29, 248, 360, 630, 498)
("'13:03:09.49807'", 2, 741, 382, 1301, 595)
("'13:03:09.49807'", 7, 86, 278, 407, 416)
("'13:03:09.49807'", 12, 15, 340, 364, 702)
("'13:03:09.49807'", 15, 334, 507, 623, 676)
("'13:03:09.49807'", 17, 795, 290, 1246, 441)
("'13:03:09.49807'", 29, 326, 376, 654, 497)
("'13:03:09.66867'", 2, 776, 399, 1358, 652)
("'13:03:09.66867'", 4, 863, 280, 1273, 460)
("'13:03:09.66867'", 7, 192, 277, 492, 402)
("'13:03:09.66867'", 12, 39, 296, 512, 720)
("'13:03:09.66867'", 15, 446, 523, 676, 658)
("'13:03:09.66867'", 29, 347, 358, 754, 512)
