['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:06:13.27187'", 1, 514, 361, 1293, 679)
("'13:06:13.27187'", 4, 1, 285, 273, 426)
("'13:06:13.27187'", 5, 936, 258, 1263, 425)
("'13:06:13.44384'", 1, 668, 369, 1322, 643)
("'13:06:13.44384'", 4, 31, 301, 308, 439)
("'13:06:13.44384'", 5, 1009, 219, 1281, 362)
("'13:06:13.44384'", 9, 180, 587, 817, 721)
("'13:06:13.61411'", 1, 675, 320, 1372, 646)
("'13:06:13.61411'", 4, 3, 306, 290, 439)
("'13:06:13.61411'", 5, 1018, 175, 1328, 360)
("'13:06:13.61411'", 9, 225, 577, 895, 720)
("'13:06:13.61411'", 12, 44, 461, 407, 722)
("'13:06:13.61411'", 16, 185, 461, 652, 609)
("'13:06:13.61411'", 17, 501, 306, 969, 537)
("'13:06:13.79246'", 1, 812, 350, 1321, 620)
("'13:06:13.79246'", 5, 1043, 135, 1331, 356)
("'13:06:13.79246'", 9, 351, 582, 965, 716)
("'13:06:13.79246'", 16, 283, 474, 659, 602)
("'13:06:13.79246'", 17, 526, 306, 955, 500)
("'13:06:13.79246'", 19, 30, 348, 287, 536)
("'13:06:13.96836'", 1, 893, 355, 1322, 610)
("'13:06:13.96836'", 5, 1082, 126, 1296, 313)
("'13:06:13.96836'", 9, 442, 585, 1001, 712)
("'13:06:13.96836'", 16, 301, 483, 670, 610)
("'13:06:13.96836'", 17, 591, 328, 922, 472)
("'13:06:13.96836'", 19, 21, 368, 320, 571)
("'13:06:13.96836'", 20, 24, 301, 429, 433)
("'13:06:14.14494'", 1, 914, 373, 1359, 678)
("'13:06:14.14494'", 5, 1113, 133, 1328, 362)
("'13:06:14.14494'", 9, 450, 562, 1088, 720)
("'13:06:14.14494'", 16, 304, 458, 778, 630)
("'13:06:14.14494'", 17, 600, 310, 1004, 485)
("'13:06:14.14494'", 19, 0, 365, 353, 602)
("'13:06:14.14494'", 20, 20, 298, 484, 446)
("'13:06:14.31840'", 1, 1031, 397, 1341, 656)
("'13:06:14.31840'", 9, 571, 575, 1147, 719)
("'13:06:14.31840'", 16, 379, 495, 778, 641)
("'13:06:14.31840'", 17, 670, 315, 1072, 481)
("'13:06:14.31840'", 19, 30, 367, 386, 596)
("'13:06:14.31840'", 20, 28, 313, 492, 464)
("'13:06:14.31840'", 27, 94, 564, 532, 719)
("'13:06:14.49103'", 4, 68, 320, 484, 478)
("'13:06:14.49103'", 9, 655, 579, 1230, 718)
("'13:06:14.49103'", 16, 447, 503, 939, 675)
("'13:06:14.49103'", 17, 649, 241, 1236, 490)
("'13:06:14.49103'", 19, 43, 401, 423, 625)
("'13:06:14.49103'", 20, 81, 324, 533, 473)
("'13:06:14.49103'", 27, 100, 585, 532, 718)
("'13:06:14.67053'", 9, 643, 565, 1279, 716)
("'13:06:14.67053'", 17, 830, 316, 1290, 508)
("'13:06:14.67053'", 19, 92, 442, 509, 644)
("'13:06:14.67053'", 20, 196, 349, 696, 502)
("'13:06:14.84934'", 12, 955, 328, 1265, 526)
("'13:06:14.84934'", 16, 675, 552, 1130, 716)
