['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:09:41.64662'", 1, 315, 235, 629, 342)
("'13:09:41.64662'", 3, 618, 265, 1098, 463)
("'13:09:41.64662'", 14, 144, 332, 539, 463)
("'13:09:41.82544'", 1, 344, 253, 685, 368)
("'13:09:41.82544'", 3, 610, 252, 1232, 506)
("'13:09:41.82544'", 14, 170, 359, 554, 483)
("'13:09:41.82544'", 19, 276, 517, 1062, 694)
("'13:09:41.82544'", 20, 21, 339, 252, 475)
("'13:09:41.99479'", 1, 405, 269, 770, 397)
("'13:09:41.99479'", 3, 694, 260, 1286, 498)
("'13:09:41.99479'", 20, 34, 362, 291, 507)
("'13:09:42.16304'", 1, 452, 269, 876, 422)
("'13:09:42.16304'", 3, 716, 278, 1344, 548)
("'13:09:42.16304'", 20, 49, 395, 368, 555)
("'13:09:42.33824'", 1, 527, 284, 951, 439)
("'13:09:42.33824'", 3, 797, 300, 1322, 547)
("'13:09:42.33824'", 12, 683, 547, 1214, 712)
("'13:09:42.33824'", 14, 193, 360, 505, 455)
("'13:09:42.33824'", 20, 60, 416, 432, 590)
("'13:09:42.33824'", 36, 28, 591, 246, 709)
("'13:09:42.51161'", 1, 552, 286, 984, 452)
("'13:09:42.51161'", 3, 884, 334, 1327, 566)
("'13:09:42.51161'", 20, 115, 439, 456, 588)
("'13:09:42.51161'", 36, 47, 590, 302, 713)
("'13:09:42.51161'", 41, 445, 417, 857, 560)
("'13:09:42.68832'", 1, 603, 273, 1059, 450)
("'13:09:42.68832'", 3, 989, 376, 1324, 569)
("'13:09:42.68832'", 20, 127, 426, 520, 596)
("'13:09:42.68832'", 36, 41, 579, 366, 717)
("'13:09:42.68832'", 44, 635, 16, 826, 190)
("'13:09:42.86273'", 1, 676, 263, 1120, 425)
("'13:09:42.86273'", 20, 164, 412, 562, 580)
("'13:09:42.86273'", 36, 13, 544, 422, 719)
("'13:09:42.86273'", 51, 586, 10, 894, 121)
("'13:09:43.03640'", 1, 701, 216, 1242, 406)
("'13:09:43.03640'", 14, 238, 313, 640, 432)
("'13:09:43.03640'", 20, 182, 381, 621, 563)
("'13:09:43.03640'", 36, 13, 508, 472, 706)
("'13:09:43.03640'", 51, 576, 2, 885, 104)
("'13:09:43.03640'", 54, 731, 576, 1281, 702)
("'13:09:43.03640'", 58, -15, 394, 190, 558)
("'13:09:43.21206'", 1, 746, 190, 1268, 376)
("'13:09:43.21206'", 12, 634, 368, 973, 475)
("'13:09:43.21206'", 14, 311, 288, 696, 403)
("'13:09:43.21206'", 20, 222, 363, 654, 538)
("'13:09:43.21206'", 36, 89, 489, 512, 669)
("'13:09:43.21206'", 58, 5, 377, 219, 547)
("'13:09:43.42048'", 1, 768, 148, 1317, 353)
("'13:09:43.42048'", 20, 214, 325, 679, 522)
("'13:09:43.42048'", 36, 127, 453, 560, 625)
("'13:09:43.42048'", 58, 11, 341, 223, 504)
("'13:09:43.42048'", 61, 454, 268, 708, 354)
("'13:09:43.59431'", 1, 826, 137, 1314, 332)
("'13:09:43.59431'", 19, 779, 323, 1218, 420)
("'13:09:43.59431'", 20, 259, 313, 691, 489)
("'13:09:43.59431'", 36, 175, 431, 587, 593)
("'13:09:43.59431'", 58, 25, 332, 234, 479)
("'13:09:43.59431'", 61, 474, 233, 771, 335)
("'13:09:43.76850'", 3, 936, 90, 1305, 320)
("'13:09:43.76850'", 20, 269, 291, 801, 506)
("'13:09:43.76850'", 36, 227, 394, 691, 573)
("'13:09:43.76850'", 58, 36, 314, 306, 477)
("'13:09:43.76850'", 61, 537, 209, 851, 323)
("'13:09:43.76850'", 71, 892, 426, 1222, 642)
("'13:09:43.93647'", 3, 1044, 157, 1287, 307)
("'13:09:43.93647'", 12, 621, 225, 908, 315)
("'13:09:43.93647'", 14, 621, 183, 1103, 328)
("'13:09:43.93647'", 20, 383, 301, 855, 489)
("'13:09:43.93647'", 36, 296, 392, 784, 576)
("'13:09:43.93647'", 58, 110, 291, 400, 465)
("'13:09:43.93647'", 71, 850, 391, 1289, 677)
("'13:09:44.11579'", 20, 427, 302, 899, 492)
("'13:09:44.11579'", 36, 376, 389, 870, 583)
("'13:09:44.11579'", 58, 159, 274, 509, 470)
("'13:09:44.11579'", 71, 932, 319, 1282, 548)
("'13:09:44.11579'", 73, 999, 309, 1270, 443)
("'13:09:44.11579'", 79, 52, 367, 190, 587)
("'13:09:44.11579'", 81, 876, 498, 1231, 692)
("'13:09:44.11579'", 82, -2, 196, 175, 421)
("'13:09:44.28698'", 20, 459, 327, 931, 509)
("'13:09:44.28698'", 36, 395, 412, 910, 607)
("'13:09:44.28698'", 41, 866, 551, 1282, 699)
("'13:09:44.28698'", 58, 165, 295, 493, 470)
("'13:09:44.28698'", 79, 41, 375, 242, 632)
("'13:09:44.28698'", 82, 37, 175, 205, 368)
("'13:09:44.45569'", 3, 1128, 183, 1286, 281)
("'13:09:44.45569'", 20, 423, 338, 930, 525)
("'13:09:44.45569'", 36, 387, 434, 929, 630)
("'13:09:44.45569'", 58, 139, 311, 498, 486)
("'13:09:44.45569'", 61, 716, 254, 1016, 364)
("'13:09:44.45569'", 79, 30, 409, 262, 668)
("'13:09:44.45569'", 82, 11, 139, 229, 374)
("'13:09:44.62434'", 3, 1143, 211, 1293, 311)
("'13:09:44.62434'", 20, 466, 367, 959, 551)
("'13:09:44.62434'", 36, 374, 451, 1080, 707)
("'13:09:44.62434'", 58, 123, 333, 542, 526)
("'13:09:44.62434'", 79, 21, 439, 292, 714)
("'13:09:44.62434'", 82, 18, 149, 239, 372)
("'13:09:44.79364'", 20, 518, 394, 1030, 583)
("'13:09:44.79364'", 36, 512, 492, 1164, 713)
("'13:09:44.79364'", 58, 148, 363, 524, 533)
("'13:09:44.79364'", 79, 60, 478, 348, 722)
("'13:09:44.79364'", 82, 20, 171, 247, 382)
("'13:09:44.96173'", 20, 587, 412, 1158, 624)
("'13:09:44.96173'", 36, 561, 476, 1279, 718)
("'13:09:44.96173'", 51, 832, 288, 1192, 405)
("'13:09:44.96173'", 54, 553, 530, 1288, 702)
("'13:09:44.96173'", 58, 220, 366, 627, 553)
("'13:09:44.96173'", 79, 95, 536, 395, 718)
("'13:09:44.96173'", 82, 25, 162, 291, 385)
("'13:09:45.12876'", 20, 591, 426, 1305, 690)
("'13:09:45.12876'", 51, 838, 295, 1260, 431)
("'13:09:45.12876'", 54, 635, 569, 1243, 709)
("'13:09:45.12876'", 58, 258, 373, 674, 564)
("'13:09:45.12876'", 79, 103, 573, 437, 720)
("'13:09:45.12876'", 81, 236, 357, 621, 564)
("'13:09:45.12876'", 82, 31, 154, 343, 392)
("'13:09:45.30187'", 1, 638, 432, 1315, 721)
("'13:09:45.30187'", 36, 697, 460, 1304, 671)
("'13:09:45.30187'", 58, 285, 348, 786, 565)
("'13:09:45.30187'", 71, 961, 275, 1252, 450)
("'13:09:45.30187'", 82, 46, 165, 407, 399)
("'13:09:45.47273'", 1, 731, 443, 1297, 695)
("'13:09:45.47273'", 3, 960, 301, 1279, 524)
("'13:09:45.47273'", 58, 265, 335, 822, 564)
("'13:09:45.47273'", 82, 53, 154, 458, 382)
("'13:09:45.64346'", 1, 787, 451, 1312, 699)
("'13:09:45.64346'", 3, 978, 271, 1290, 496)
("'13:09:45.64346'", 58, 260, 320, 857, 546)
("'13:09:45.64346'", 82, 64, 153, 499, 369)
("'13:09:45.81165'", 1, 858, 435, 1333, 685)
("'13:09:45.81165'", 3, 999, 204, 1303, 447)
("'13:09:45.81165'", 58, 323, 294, 926, 510)
("'13:09:45.81165'", 79, 245, 499, 479, 591)
("'13:09:45.81165'", 81, 57, 540, 243, 636)
("'13:09:45.81165'", 82, 31, 114, 558, 356)
("'13:09:45.81165'", 98, 6, 608, 127, 696)
("'13:09:45.98510'", 1, 953, 481, 1267, 647)
("'13:09:45.98510'", 58, 414, 272, 1016, 473)
("'13:09:45.98510'", 79, 292, 477, 540, 577)
("'13:09:45.98510'", 82, 44, 79, 624, 326)
("'13:09:45.98510'", 106, 45, 487, 290, 590)
("'13:09:46.15270'", 34, 705, 538, 1282, 718)
("'13:09:46.15270'", 41, 317, 460, 567, 552)
("'13:09:46.15270'", 58, 493, 238, 1113, 441)
("'13:09:46.15270'", 82, 72, 69, 676, 299)
("'13:09:46.15270'", 112, -8, 501, 268, 663)
("'13:09:46.32231'", 34, 757, 552, 1271, 710)
("'13:09:46.32231'", 58, 543, 219, 1172, 424)
("'13:09:46.32231'", 82, 76, 42, 771, 302)
("'13:09:46.32231'", 112, 1, 487, 273, 647)
("'13:09:46.49115'", 20, 598, 187, 1281, 441)
("'13:09:46.49115'", 36, 767, 535, 1284, 718)
("'13:09:46.49115'", 58, 589, 203, 1283, 424)
("'13:09:46.49115'", 82, 110, 20, 832, 293)
("'13:09:46.49115'", 114, 6, 467, 290, 600)
("'13:09:46.70026'", 20, 656, 188, 1295, 430)
("'13:09:46.70026'", 36, 878, 553, 1305, 715)
("'13:09:46.70026'", 82, 265, 39, 891, 276)
("'13:09:46.70026'", 112, 0, 549, 166, 647)
("'13:09:46.86779'", 71, 818, 193, 1268, 440)
("'13:09:46.86779'", 82, 352, 49, 971, 278)
("'13:09:47.03935'", 3, 925, 212, 1273, 482)
("'13:09:47.03935'", 51, 695, 433, 985, 532)
("'13:09:47.03935'", 79, 546, 455, 792, 557)
