['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:06:29.39127'", 1, 439, 321, 858, 492)
("'13:06:29.39127'", 3, 270, 448, 749, 604)
("'13:06:29.39127'", 4, 684, 593, 1292, 711)
("'13:06:29.39127'", 5, 104, 354, 442, 494)
("'13:06:29.39127'", 6, 882, 372, 1179, 586)
("'13:06:29.39127'", 8, 256, 603, 744, 718)
("'13:06:29.57641'", 1, 565, 350, 989, 512)
("'13:06:29.57641'", 3, 401, 460, 930, 626)
("'13:06:29.57641'", 4, 867, 636, 1268, 714)
("'13:06:29.57641'", 5, 234, 372, 631, 531)
("'13:06:29.57641'", 6, 1004, 413, 1266, 592)
("'13:06:29.57641'", 13, 10, 387, 304, 526)
("'13:06:29.76149'", 1, 650, 338, 1142, 520)
("'13:06:29.76149'", 13, 88, 424, 368, 553)
("'13:06:29.76149'", 14, 840, 568, 1272, 720)
("'13:06:29.76149'", 16, 15, 645, 260, 715)
("'13:06:29.76149'", 18, 487, 631, 963, 715)
("'13:06:29.94125'", 1, 691, 329, 1227, 521)
("'13:06:29.94125'", 3, 672, 474, 1089, 603)
("'13:06:29.94125'", 18, 504, 632, 990, 720)
("'13:06:30.12586'", 1, 690, 299, 1273, 507)
("'13:06:30.12586'", 13, 168, 438, 489, 583)
("'13:06:30.12586'", 21, 431, 333, 875, 515)
("'13:06:30.12586'", 22, 669, 456, 1229, 605)
("'13:06:30.12586'", 30, -13, 627, 476, 719)
("'13:06:30.12586'", 31, 627, 587, 1019, 720)
("'13:06:30.33898'", 1, 747, 301, 1271, 488)
("'13:06:30.33898'", 13, 205, 440, 539, 591)
("'13:06:30.33898'", 21, 466, 323, 868, 491)
("'13:06:30.33898'", 31, 622, 583, 1095, 718)
("'13:06:30.33898'", 33, -3, 387, 242, 527)
("'13:06:30.52001'", 1, 769, 272, 1306, 471)
("'13:06:30.52001'", 3, 748, 427, 1270, 589)
("'13:06:30.52001'", 13, 255, 438, 599, 591)
("'13:06:30.52001'", 21, 511, 281, 953, 468)
("'13:06:30.52001'", 28, 222, 448, 624, 578)
("'13:06:30.52001'", 31, 644, 565, 1213, 716)
("'13:06:30.52001'", 33, 46, 361, 297, 497)
("'13:06:30.52001'", 34, 6, 585, 653, 713)
("'13:06:30.71427'", 1, 744, 255, 1306, 472)
("'13:06:30.71427'", 13, 381, 454, 704, 595)
("'13:06:30.71427'", 31, 715, 571, 1280, 717)
("'13:06:30.71427'", 33, 38, 328, 457, 524)
("'13:06:30.71427'", 34, 74, 569, 780, 712)
("'13:06:30.89951'", 1, 901, 278, 1321, 461)
("'13:06:30.89951'", 16, 214, 541, 820, 710)
("'13:06:30.89951'", 31, 735, 553, 1316, 719)
("'13:06:30.89951'", 42, 20, 636, 134, 713)
("'13:06:31.08650'", 14, 845, 569, 1263, 719)
("'13:06:31.08650'", 16, 271, 522, 924, 712)
("'13:06:31.08650'", 21, 800, 263, 1243, 452)
("'13:06:31.08650'", 43, 242, 322, 657, 471)
("'13:06:31.08650'", 46, 80, 644, 253, 719)
("'13:06:31.08650'", 47, 121, 457, 433, 560)
("'13:06:31.26175'", 14, 923, 568, 1310, 715)
("'13:06:31.26175'", 16, 385, 502, 1043, 702)
("'13:06:31.26175'", 21, 886, 239, 1286, 417)
("'13:06:31.26175'", 33, 81, 383, 418, 533)
("'13:06:31.26175'", 43, 355, 321, 745, 465)
("'13:06:31.26175'", 54, 27, 633, 449, 717)
("'13:06:31.44835'", 16, 429, 481, 1112, 692)
("'13:06:31.44835'", 21, 934, 217, 1325, 416)
("'13:06:31.44835'", 28, 831, 361, 1220, 501)
("'13:06:31.44835'", 33, 149, 388, 471, 522)
("'13:06:31.44835'", 43, 450, 319, 798, 445)
("'13:06:31.44835'", 59, 25, 475, 127, 606)
("'13:06:31.62959'", 3, 888, 362, 1241, 483)
("'13:06:31.62959'", 16, 535, 448, 1276, 679)
("'13:06:31.62959'", 21, 1046, 234, 1272, 360)
("'13:06:31.62959'", 30, 288, 584, 1004, 719)
("'13:06:31.62959'", 33, 201, 383, 517, 521)
("'13:06:31.62959'", 42, 4, 471, 205, 603)
("'13:06:31.62959'", 43, 536, 317, 869, 437)
("'13:06:31.81376'", 16, 618, 427, 1303, 644)
("'13:06:31.81376'", 21, 1107, 219, 1318, 356)
("'13:06:31.81376'", 30, 386, 586, 1063, 715)
("'13:06:31.81376'", 33, 282, 368, 584, 497)
("'13:06:31.81376'", 42, 20, 455, 245, 588)
("'13:06:31.81376'", 43, 635, 332, 908, 426)
("'13:06:31.81376'", 47, 255, 372, 590, 480)
("'13:06:31.81376'", 62, -28, 556, 337, 713)
("'13:06:31.98627'", 16, 682, 407, 1314, 621)
("'13:06:31.98627'", 18, 424, 574, 1190, 712)
("'13:06:31.98627'", 34, 475, 568, 1211, 720)
("'13:06:31.98627'", 42, 31, 447, 276, 568)
("'13:06:31.98627'", 43, 644, 300, 1031, 430)
("'13:06:31.98627'", 47, 284, 354, 654, 475)
("'13:06:31.98627'", 62, -8, 539, 381, 710)
("'13:06:32.17385'", 1, 775, 375, 1280, 600)
("'13:06:32.17385'", 34, 524, 541, 1336, 717)
("'13:06:32.17385'", 42, 42, 426, 313, 545)
("'13:06:32.17385'", 43, 759, 288, 1121, 414)
("'13:06:32.17385'", 62, 34, 524, 438, 702)
("'13:06:32.35145'", 1, 857, 373, 1308, 605)
("'13:06:32.35145'", 3, 850, 288, 1239, 425)
("'13:06:32.35145'", 31, 622, 537, 1257, 709)
("'13:06:32.35145'", 47, 404, 335, 758, 451)
("'13:06:32.35145'", 62, 18, 494, 553, 716)
("'13:06:32.52205'", 1, 861, 335, 1330, 608)
("'13:06:32.52205'", 3, 860, 292, 1273, 443)
("'13:06:32.52205'", 14, 700, 515, 1276, 720)
("'13:06:32.52205'", 47, 442, 327, 777, 437)
("'13:06:32.52205'", 62, 10, 446, 682, 716)
("'13:06:32.69444'", 1, 926, 319, 1289, 545)
("'13:06:32.69444'", 14, 791, 555, 1261, 719)
("'13:06:32.69444'", 33, 472, 333, 836, 481)
("'13:06:32.69444'", 47, 451, 335, 854, 469)
("'13:06:32.69444'", 62, 57, 432, 806, 717)
("'13:06:32.89891'", 1, 1044, 341, 1277, 492)
("'13:06:32.89891'", 33, 534, 342, 947, 509)
("'13:06:32.89891'", 62, 139, 452, 944, 717)
("'13:06:33.07431'", 16, 619, 363, 979, 493)
("'13:06:33.07431'", 18, 37, 502, 1233, 720)
("'13:06:33.07431'", 73, 87, 444, 636, 601)
("'13:06:33.24582'", 16, 641, 350, 1069, 516)
("'13:06:33.24582'", 73, 177, 447, 694, 598)
("'13:06:33.24582'", 75, 207, 528, 1247, 719)
("'13:06:33.42338'", 16, 688, 378, 1059, 521)
("'13:06:33.42338'", 34, 370, 521, 1275, 719)
("'13:06:33.42338'", 42, 237, 454, 638, 606)
("'13:06:33.42338'", 75, 308, 529, 1304, 713)
("'13:06:33.61010'", 34, 437, 537, 1257, 715)
("'13:06:33.61010'", 42, 244, 460, 707, 630)
("'13:06:33.61010'", 62, 596, 379, 1136, 544)
("'13:06:33.61010'", 75, 385, 541, 1291, 711)
("'13:06:33.78627'", 34, 499, 538, 1299, 714)
("'13:06:33.78627'", 42, 271, 451, 771, 634)
("'13:06:33.78627'", 62, 694, 385, 1131, 523)
("'13:06:33.78627'", 79, 10, 603, 211, 704)
("'13:06:33.96300'", 33, 776, 368, 1205, 535)
("'13:06:33.96300'", 42, 310, 452, 733, 615)
("'13:06:33.96300'", 79, 20, 606, 223, 705)
("'13:06:34.14570'", 33, 789, 343, 1299, 551)
("'13:06:34.14570'", 42, 342, 437, 781, 613)
("'13:06:34.14570'", 73, 495, 575, 1002, 721)
("'13:06:34.14570'", 79, 12, 588, 291, 713)
("'13:06:34.14570'", 82, 137, 21, 401, 149)
("'13:06:34.32470'", 14, 622, 563, 1074, 720)
("'13:06:34.32470'", 47, 412, 433, 840, 581)
("'13:06:34.32470'", 62, 857, 362, 1274, 501)
("'13:06:34.32470'", 73, 574, 567, 1135, 723)
("'13:06:34.32470'", 79, 0, 553, 373, 719)
("'13:06:34.49994'", 3, 650, 535, 1140, 718)
("'13:06:34.49994'", 16, 908, 322, 1303, 483)
("'13:06:34.49994'", 42, 441, 386, 887, 565)
("'13:06:34.49994'", 79, 47, 516, 423, 681)
("'13:06:34.67474'", 1, 1002, 302, 1248, 444)
("'13:06:34.67474'", 3, 695, 502, 1202, 692)
("'13:06:34.67474'", 47, 495, 377, 910, 519)
("'13:06:34.67474'", 79, 46, 485, 448, 656)
("'13:06:34.84863'", 1, 1020, 280, 1249, 411)
("'13:06:34.84863'", 3, 715, 476, 1216, 658)
("'13:06:34.84863'", 47, 466, 326, 962, 502)
("'13:06:34.84863'", 79, 72, 456, 457, 623)
("'13:06:35.02129'", 3, 739, 445, 1273, 641)
("'13:06:35.02129'", 16, 1018, 263, 1283, 374)
("'13:06:35.02129'", 33, 679, 452, 1244, 691)
("'13:06:35.02129'", 42, 527, 319, 917, 462)
("'13:06:35.02129'", 79, 129, 431, 506, 598)
("'13:06:35.19273'", 33, 772, 413, 1290, 634)
("'13:06:35.19273'", 42, 506, 284, 979, 458)
("'13:06:35.19273'", 79, 162, 415, 538, 599)
("'13:06:35.37084'", 33, 807, 438, 1297, 650)
("'13:06:35.37084'", 42, 551, 268, 1058, 454)
("'13:06:35.37084'", 90, 1110, 254, 1285, 386)
("'13:06:35.53992'", 33, 776, 471, 1292, 702)
("'13:06:35.53992'", 42, 578, 255, 1127, 460)
("'13:06:35.53992'", 79, 290, 419, 629, 598)
("'13:06:35.72480'", 3, 852, 543, 1293, 717)
("'13:06:35.72480'", 42, 645, 298, 1191, 492)
("'13:06:35.72480'", 73, 814, 584, 1275, 713)
("'13:06:35.72480'", 79, 300, 446, 657, 633)
("'13:06:35.90171'", 42, 670, 313, 1253, 522)
("'13:06:35.90171'", 79, 313, 478, 708, 679)
("'13:06:36.11215'", 42, 753, 354, 1314, 568)
("'13:06:36.11215'", 62, 735, 521, 1095, 650)
("'13:06:36.11215'", 79, 357, 530, 746, 714)
("'13:06:36.28434'", 42, 821, 370, 1318, 562)
("'13:06:36.28434'", 47, 826, 543, 1198, 687)
("'13:06:36.28434'", 79, 423, 544, 861, 719)
("'13:06:36.28434'", 82, 834, 361, 1279, 581)
("'13:06:36.46418'", 79, 520, 578, 957, 721)
("'13:06:36.46418'", 82, 906, 388, 1288, 583)
("'13:06:36.46418'", 104, 888, 567, 1191, 718)
("'13:06:36.46418'", 105, 494, 351, 787, 506)
("'13:06:36.64328'", 47, 695, 573, 1114, 722)
